frame,x,y,visible
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,1460,522,1
105,1460,522,1
106,1452,451,1
107,1452,451,1
108,1445,424,1
109,1445,424,1
110,1439,408,1
111,1439,408,1
112,1434,383,0
113,1431,370,0
114,1428,356,0
115,1425,343,0
116,1422,329,0
117,1419,316,0
118,1416,302,0
119,1412,289,0
120,1409,276,0
121,1413,374,1
122,1410,377,1
123,1410,377,1
124,1410,377,1
125,1407,377,0
126,1405,378,0
127,1404,379,0
128,1402,379,0
129,1401,380,0
130,1399,381,0
131,1398,381,0
132,1396,382,0
133,1395,383,0
134,1393,384,0
135,1392,384,0
136,1390,385,0
137,1389,386,0
138,1388,387,0
139,1386,387,0
140,1385,388,0
141,1383,389,0
142,1382,389,0
143,1380,390,0
144,1379,391,0
145,1377,392,0
146,1376,392,0
147,1374,393,0
148,1373,394,0
149,1371,395,0
150,1370,395,0
151,1368,396,0
152,1367,397,0
153,1365,397,0
154,1364,398,0
155,1363,399,0
156,1361,400,0
157,1360,400,0
158,1358,401,0
159,1357,402,0
160,1355,403,0
161,1354,403,0
162,1352,404,0
163,1351,405,0
164,1349,406,0
165,1348,406,0
166,1346,407,0
167,1345,408,0
168,1343,408,0
169,1342,409,0
170,1340,410,0
171,890,328,1
172,890,328,1
173,890,328,1
174,890,328,1
175,1154,571,1
176,1154,571,1
177,1154,571,1
178,1231,643,0
179,1289,696,0
180,1347,750,0
181,1405,803,0
182,1463,857,0
183,1521,910,0
184,1579,964,0
185,1637,1017,0
186,1695,1071,0
187,1753,1124,0
188,1811,1178,0
189,1869,1231,0
190,1927,1285,0
191,1985,1338,0
192,2043,1392,0
193,2101,1445,0
194,894,325,1
195,893,325,1
196,889,325,1
197,889,325,1
198,884,323,1
199,884,323,1
200,884,323,1
201,907,615,1
202,907,615,1
203,879,615,1
204,879,615,1
205,879,615,1
206,851,617,1
207,819,625,1
208,819,625,1
209,819,625,1
210,790,630,1
211,790,630,1
212,761,634,1
213,761,634,1
214,761,634,1
215,731,635,1
216,731,635,1
217,705,634,1
218,704,634,1
219,679,636,1
220,679,636,1
221,655,641,1
222,656,641,1
223,656,641,1
224,819,333,1
225,819,333,1
226,820,333,1
227,821,333,1
228,821,333,1
229,829,328,1
230,829,328,1
231,826,328,1
232,825,328,1
233,827,329,1
234,827,329,1
235,828,328,1
236,828,328,1
237,828,328,1
238,520,645,1
239,520,645,1
240,500,647,1
241,500,647,1
242,482,649,1
243,482,649,1
244,463,650,1
245,463,650,1
246,463,650,1
247,445,651,1
248,445,651,1
249,429,652,1
250,429,652,1
251,429,652,1
252,412,652,1
253,394,655,1
254,394,655,1
255,394,655,1
256,377,656,1
257,377,656,1
258,360,658,1
259,361,658,1
260,361,658,1
261,345,658,1
262,330,659,1
263,330,659,1
264,330,659,1
