frame,x,y,visible
0,0,0,0
1,1201,717,1
2,1206,709,1
3,1213,691,1
4,1213,683,1
5,1454,827,0
6,1712,973,0
7,1971,1118,0
8,2230,1264,0
9,2489,1410,0
10,2748,1555,0
11,3006,1701,0
12,3265,1846,0
13,3524,1992,0
14,3783,2138,0
15,4042,2283,0
16,4301,2429,0
17,4559,2575,0
18,4818,2720,0
19,5077,2866,0
20,5336,3012,0
21,5595,3157,0
22,5854,3303,0
23,6112,3449,0
24,6371,3594,0
25,6630,3740,0
26,6889,3886,0
27,7148,4031,0
28,7406,4177,0
29,7665,4323,0
30,1237,493,1
31,1250,472,1
32,1141,403,0
33,1264,450,1
34,1264,450,1
35,1227,410,0
36,1218,391,0
37,1208,372,0
38,1199,353,0
39,1189,334,0
40,1179,315,0
41,1170,296,0
42,1160,277,0
43,1151,258,0
44,1141,239,0
45,1132,220,0
46,1122,201,0
47,1112,182,0
48,1103,163,0
49,1093,144,0
50,1084,125,0
51,1074,107,0
52,1064,88,0
53,1055,69,0
54,1045,50,0
55,1036,31,0
56,1026,12,0
57,1017,-6,0
58,1007,-25,0
59,997,-44,0
60,988,-63,0
61,978,-82,0
62,969,-101,0
63,959,-120,0
64,949,-139,0
65,940,-158,0
66,930,-177,0
67,1541,469,1
68,1559,469,1
69,1590,476,1
70,1607,481,1
71,1638,490,1
72,1671,502,1
73,1686,511,1
74,1729,497,1
75,1742,487,1
76,1742,487,1
77,1770,472,1
78,1783,464,1
79,1809,452,1
80,1837,443,1
81,1848,439,1
82,1876,433,1
83,1888,432,1
84,1912,428,1
85,1912,428,1
86,1936,429,1
87,1948,431,1
88,1948,431,1
89,1986,438,1
90,1986,438,1
91,1995,442,1
92,1996,442,1
93,2018,450,1
94,2018,450,1
95,2032,444,1
96,2032,444,1
97,2054,435,1
98,2054,435,1
99,2075,426,1
100,2075,426,1
101,2086,422,1
102,2086,422,1
103,2106,418,1
104,2106,418,1
105,2119,415,1
106,2119,415,1
107,2140,415,1
108,2140,415,1
109,2161,415,1
110,2161,415,1
111,2170,417,1
112,2192,419,1
113,2192,419,1
114,2204,415,1
115,2204,415,1
116,2232,406,1
117,2232,406,1
118,2242,404,1
119,2242,404,1
120,2262,402,1
121,2262,402,1
122,2279,400,1
123,2279,400,1
124,2288,401,1
125,2288,401,1
126,2309,399,1
127,2309,399,1
128,2315,395,1
129,2315,395,1
130,2334,389,1
131,2334,389,1
132,2352,385,1
133,2352,385,1
134,2360,384,1
135,2360,384,1
136,2378,385,1
137,2378,385,1
138,2385,383,1
139,2385,383,1
140,2410,377,1
141,2417,376,1
142,2417,376,1
143,2433,374,1
144,2433,374,1
145,2447,372,1
146,2447,372,1
147,2455,370,1
148,2455,370,1
149,2470,367,1
150,2470,367,1
151,2477,365,0
152,2483,364,0
153,2489,363,0
154,2494,362,0
155,2506,360,1
156,2506,360,1
157,2513,357,1
158,2513,357,1
159,2520,355,0
160,2524,354,0
161,2529,352,0
162,2533,351,0
163,2538,350,0
164,2543,349,0
165,2547,347,0
166,2011,95,1
167,1964,69,0
168,1896,35,0
169,1829,0,0
170,1762,-34,0
171,1694,-68,0
172,1627,-103,0
173,1560,-138,0
174,1492,-172,0
175,1425,-207,0
176,1357,-242,0
177,1290,-276,0
178,1223,-311,0
179,1155,-346,0
180,1088,-381,0
181,1021,-415,0
182,953,-450,0
183,886,-485,0
184,818,-519,0
185,751,-554,0
186,684,-589,0
187,616,-623,0
188,549,-658,0
189,482,-693,0
190,414,-727,0
191,347,-762,0
192,279,-797,0
193,212,-831,0
194,145,-866,0
195,77,-901,0
196,10,-936,0
197,-56,-970,0
198,-124,-1005,0
199,-191,-1040,0
200,-259,-1074,0
