frame,x,y,visible
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,1107,374,1
57,1107,374,1
58,1107,374,1
59,1107,374,1
60,1110,368,1
61,1110,368,1
62,1114,365,1
63,1114,365,1
64,1116,363,0
65,1117,361,0
66,1118,359,0
67,1120,358,0
68,1121,356,0
69,1122,354,0
70,1124,352,0
71,1125,351,0
72,1126,349,0
73,1128,347,0
74,1129,346,0
75,1130,344,0
76,1132,342,0
77,1133,340,0
78,1134,339,0
79,1136,337,0
80,1137,335,0
81,1138,334,0
82,1140,332,0
83,1141,330,0
84,1142,328,0
85,1143,327,0
86,1145,325,0
87,1146,323,0
88,1147,322,0
89,1149,320,0
90,1150,318,0
91,1151,316,0
92,1153,315,0
93,1154,313,0
94,1155,311,0
95,1157,310,0
96,1158,308,0
97,1159,306,0
98,1161,304,0
99,1162,303,0
100,1163,301,0
101,1165,299,0
102,1166,298,0
103,1167,296,0
104,1169,294,0
105,1170,292,0
106,1171,291,0
107,1172,289,0
108,1174,287,0
109,1175,286,0
110,1176,284,0
111,1178,282,0
112,988,494,1
113,988,494,1
114,935,483,1
115,935,483,1
116,935,483,1
117,935,483,1
118,879,479,1
119,879,479,1
120,826,475,1
121,772,478,1
122,719,483,1
123,665,491,1
124,665,491,1
125,665,491,1
126,613,504,1
127,560,520,1
128,560,520,1
129,507,541,1
130,480,543,0
131,448,553,0
132,417,562,0
133,385,572,0
134,353,581,0
135,282,613,1
136,254,599,1
137,254,599,1
138,254,599,1
139,226,589,1
140,226,589,1
141,169,579,1
142,169,579,1
143,169,579,1
144,113,584,1
145,113,584,1
146,113,584,1
147,113,584,1
148,89,583,0
149,78,583,0
150,66,583,0
151,55,583,0
152,44,584,0
153,33,584,0
154,22,584,0
155,10,584,0
156,0,584,0
157,-11,585,0
158,-22,585,0
159,-34,585,0
160,-45,585,0
161,-56,586,0
162,-67,586,0
163,-78,586,0
164,-90,586,0
165,-101,586,0
166,-112,587,0
167,-123,587,0
168,-135,587,0
169,-146,587,0
170,-157,587,0
171,-168,588,0
172,-180,588,0
173,-191,588,0
174,-202,588,0
175,-213,589,0
176,-224,589,0
177,-236,589,0
178,-247,589,0
179,-258,589,0
180,-269,590,0
181,-281,590,0
182,-292,590,0
183,-303,590,0
184,-314,590,0
185,-325,591,0
186,-337,591,0
187,-348,591,0
188,-359,591,0
189,-370,592,0
190,-382,592,0
191,-393,592,0
192,-404,592,0
193,-415,592,0
194,-427,593,0
195,-438,593,0
