frame,x,y,visible
0,0,0,0
1,0,0,0
2,2325,1262,1
3,2325,1262,1
4,2325,1262,1
5,2729,1481,0
6,2325,1262,1
7,2325,1262,1
8,2325,1262,1
9,2325,1262,1
10,2325,1262,1
11,2325,1262,1
12,2325,1262,1
13,2325,1262,1
14,2325,1262,1
15,2325,1262,1
16,2325,1262,1
17,2325,1262,1
18,2325,1262,1
19,2325,1262,1
20,2318,1258,0
21,2316,1257,0
22,2314,1256,0
23,2312,1255,0
24,2310,1254,0
25,2308,1253,0
26,2307,1252,0
27,2305,1251,0
28,2303,1250,0
29,2301,1249,0
30,2299,1248,0
31,2297,1247,0
32,2295,1246,0
33,2293,1244,0
34,2291,1243,0
35,2289,1242,0
36,2287,1241,0
37,2285,1240,0
38,2284,1239,0
39,2282,1238,0
40,2280,1237,0
41,2278,1236,0
42,2276,1235,0
43,2274,1234,0
44,2272,1233,0
45,2270,1232,0
46,2268,1231,0
47,2266,1230,0
48,2264,1229,0
49,2263,1228,0
50,2261,1227,0
51,2259,1226,0
52,2257,1225,0
53,2255,1224,0
54,2253,1223,0
55,2251,1222,0
56,2249,1221,0
57,2247,1220,0
58,2245,1219,0
59,2243,1217,0
60,2242,1216,0
61,2240,1215,0
62,2238,1214,0
63,2236,1213,0
64,2234,1212,0
65,2232,1211,0
66,2230,1210,0
67,2228,1209,0
68,2226,1208,0
69,2224,1207,0
70,2222,1206,0
71,2220,1205,0
72,2219,1204,0
73,2217,1203,0
74,2215,1202,0
75,2213,1201,0
76,2211,1200,0
77,2209,1199,0
78,2207,1198,0
79,2205,1197,0
80,2203,1196,0
81,2201,1195,0
82,2199,1194,0
83,2198,1193,0
84,2196,1192,0
85,2194,1191,0
86,2192,1189,0
87,2190,1188,0
88,2188,1187,0
89,2186,1186,0
90,2184,1185,0
91,2182,1184,0
92,2180,1183,0
93,2178,1182,0
94,2176,1181,0
95,2175,1180,0
96,2173,1179,0
97,2171,1178,0
98,2169,1177,0
99,2167,1176,0
100,2165,1175,0
101,2163,1174,0
102,2161,1173,0
103,2159,1172,0
104,2157,1171,0
105,2155,1170,0
106,2154,1169,0
107,2152,1168,0
108,2150,1167,0
109,2148,1166,0
110,2146,1165,0
111,2144,1164,0
112,2142,1162,0
113,2140,1161,0
114,2138,1160,0
115,2136,1159,0
116,2134,1158,0
117,2133,1157,0
118,2131,1156,0
119,2129,1155,0
120,2127,1154,0
121,2125,1153,0
122,2123,1152,0
123,2121,1151,0
124,2119,1150,0
125,2117,1149,0
126,2115,1148,0
127,2113,1147,0
128,2111,1146,0
129,2110,1145,0
130,2108,1144,0
131,2106,1143,0
132,2104,1142,0
133,2102,1141,0
134,2100,1140,0
135,2098,1139,0
136,2096,1138,0
137,2094,1137,0
138,2092,1135,0
139,2090,1134,0
140,2089,1133,0
141,2087,1132,0
142,2085,1131,0
143,2083,1130,0
144,2081,1129,0
145,2079,1128,0
146,2077,1127,0
147,2075,1126,0
148,2073,1125,0
149,2071,1124,0
150,2069,1123,0
151,2067,1122,0
152,2066,1121,0
153,2064,1120,0
154,2062,1119,0
155,2060,1118,0
156,2058,1117,0
157,2056,1116,0
158,2054,1115,0
159,2052,1114,0
160,2050,1113,0
161,2048,1112,0
162,2046,1111,0
163,2045,1110,0
164,2043,1109,0
165,2041,1107,0
166,2039,1106,0
167,2037,1105,0
168,2035,1104,0
169,2033,1103,0
170,2031,1102,0
171,2029,1101,0
172,2027,1100,0
173,2025,1099,0
174,2024,1098,0
175,2022,1097,0
176,2020,1096,0
177,2018,1095,0
